Description,Keys,영어 (en),한국어 (ko),일본어 (ja)
HOME,HOME_WELCOME_LABEL,"Hi, %@!","안녕하세요, %@님",
,HOME_DATE_LABEL,"%@, %@ %@",%@년 %@월 %@일,
,,,,
DATE,1,Jan,,
,2,Feb,,
,3,Mar,,
,4,Apr,,
,5,May,,
,6,Jun,,
,7,Jul,,
,8,Aug,,
,9,Sep,,
,10,Oct,,
,11,Nov,,
,12,Dec,,
,,,,
WATER,WATER_MAIN_LABEL,Today you took\n%@ of water,오늘 당신이 마신\n물은 %@ 입니다,
,WATER_DRINK_BUTTON,Drink,물 마시기,
,WATER_DRINK_LABEL,1x glass,물 한잔,
,WATER_DRINK_TEXTFORM_EX,200,200,
,WATER_SET_TITLE_LABEL,Current Goals,현재 하루 목표,
,WATER_SET_A_CUP_TEXTFORM,Enter the amount of a glass of water,물 한잔의 양을 입력하세요,
,WATER_SET_GOAL_TEXTFORM,Enter your goal,목표량을 입력하세요,
,,,,
,,,,
,,,,
,,,,
COMMIT,COMMIT_DATE_LABEL,"%@, %@",%@년 %@월,
,,,,
COMMON,CANCEL_BUTTON,Cancel,취소,
,ADD_BUTTON,Add,추가,
,COMPLETE_BUTTON,Complete,완료,
,OK_BUTTON,Ok,확인,
,TODAY,Today,오늘,
,MONTH_AVERAGE,Average,이번 달 평균,
